HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Burnley,Swansea,A,0.85667215815486,0.8752735229759299,3,0.7877461706783369,1.186161449752883,9,7,4,0,2.4,3.3,3.25,0,0.2894736842105263,0.18421052631578946,0.5263157894736842,0.3157894736842105,0.13157894736842105,0.5526315789473685,-0.02631578947368418,0.05263157894736842,-0.026315789473684292,27,18,34,36,0,0,0.06892598747652312,-0.3108879267769531,0,0,-2.0,0,3,-1,6.0,3,-6,9,-2,18.0,12.0,16.0,15.0,0.4784759743215123,0.25533819294862553,0.26040799252692276,0,-1
Crystal Palace,West Brom,A,0.7907742998352554,1.0940919037199124,4,0.7002188183807438,0.955518945634267,3,3,6,0,2.0,3.3,4.5,0,0.3157894736842105,0.13157894736842105,0.5526315789473685,0.3157894736842105,0.23684210526315788,0.4473684210526316,0.0,-0.10526315789473684,0.10526315789473689,27,16,22,29,0,1,0.09055548145451153,0.1385729580856454,0,0,-1.0,0,3,-4,2.0,-3,1,11,-7,16.0,14.0,14.0,10.0,0.4346253524182348,0.2609757801349512,0.2994919689164465,0,-1
Everton,Tottenham,D,1.383855024711697,0.7002188183807438,6,1.7067833698030634,0.5601317957166392,4,5,6,0,3.2,3.4,2.4,1,0.4473684210526316,0.2631578947368421,0.2894736842105263,0.6842105263157895,0.21052631578947367,0.10526315789473684,-0.2368421052631579,0.05263157894736842,0.1842105263157895,47,39,9,17,0,1,-0.3229283450913665,0.14008702266410467,1,0,0.33333333333333326,7,5,-25,8.0,-1,2,8,-8,11.0,3.0,7.0,2.0,0.2216243552494781,0.2518540093784232,0.5203262844061816,0,0
Hull,Leicester,H,0.9225700164744646,1.5317286652078774,5,0.7439824945295405,1.2520593080724878,5,5,3,2,4.5,3.6,1.91,0,0.23684210526315788,0.18421052631578946,0.5789473684210527,0.3157894736842105,0.21052631578947367,0.47368421052631576,-0.07894736842105263,-0.02631578947368421,0.10526315789473689,31,17,25,38,1,1,0.1785875219449241,0.27966935713538965,1,1,1.25,7,4,-10,17.0,2,0,14,-13,18.0,1.0,18.0,12.0,0.31497658078245167,0.24150101596171925,0.43432244295031736,0,1
Man City,Sunderland,H,1.2191103789126854,0.7439824945295405,4,0.5689277899343544,1.1532125205930808,3,9,6,0,1.25,6.5,15.0,0,0.6052631578947368,0.23684210526315788,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.6842105263157895,0.4473684210526316,0.07894736842105263,-0.5263157894736843,16,13,34,35,0,0,0.6501825889783309,-0.4092300260635403,1,1,3.75,12,1,54,-13.0,3,1,3,-1,4.0,17.0,3.0,20.0,0.7833484645126971,0.0948037954346884,0.036454696213343865,0,1
Middlesbrough,Stoke,D,0.5601317957166392,1.0065645514223194,2,0.7439824945295405,1.0543657331136738,1,9,6,0,2.38,3.2,3.4,1,0.13157894736842105,0.34210526315789475,0.5263157894736842,0.2894736842105263,0.2894736842105263,0.42105263157894735,-0.15789473684210528,0.05263157894736842,0.10526315789473684,24,17,24,32,0,0,-0.18385069881290128,-0.04780118169135439,0,3,1.0,1,1,-16,9.0,3,1,7,-8,18.0,9.0,19.0,13.0,0.3159595650614998,0.334375403642971,0.3490656731509346,0,0
Southampton,Watford,D,0.5601317957166392,0.9190371991247265,6,0.6564551422319475,1.2850082372322902,1,6,2,2,1.8,3.75,5.0,0,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.2894736842105263,0.18421052631578946,0.5263157894736842,0.02631578947368418,0.07894736842105263,-0.10526315789473684,25,15,29,39,1,2,-0.09632334651530827,-0.3659710381075637,0,1,0.25,7,7,6,-7.0,4,5,10,-10,6.0,13.0,9.0,17.0,0.5408039768362083,0.25578023751308104,0.19799670526808646,0,0
Arsenal,Liverpool,A,1.2850082372322902,0.7002188183807438,5,1.4442013129102844,0.7907742998352554,7,5,4,0,2.4,3.5,3.1,0,0.6052631578947368,0.15789473684210525,0.23684210526315788,0.5789473684210527,0.2631578947368421,0.15789473684210525,0.02631578947368418,-0.10526315789473684,0.07894736842105263,45,33,18,24,0,3,-0.15919307567799423,-0.09055548145451153,0,0,0.5,12,10,-1,-6.0,1,-2,12,-6,2.0,8.0,5.0,4.0,0.45454559228198005,0.224474546989607,0.3047584276075542,0,-1
Bournemouth,Man United,A,1.1532125205930808,1.2691466083150984,3,1.225382932166302,0.5601317957166392,7,4,2,1,4.75,3.6,1.85,1,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.47368421052631576,0.39473684210526316,0.13157894736842105,-0.15789473684210525,-0.13157894736842107,0.2894736842105263,26,28,12,17,0,1,-0.07217041157322113,0.7090148125984592,2,0,1.75,8,5,-23,10.0,2,-4,-2,-5,15.0,5.0,8.0,6.0,0.22827438895124785,0.2599943269505219,0.5067555281729873,0,-1
Chelsea,West Ham,H,1.812191103789127,0.7439824945295405,6,1.225382932166302,1.0873146622734762,3,7,1,0,1.65,4.0,6.0,0,0.7894736842105263,0.07894736842105263,0.13157894736842105,0.3157894736842105,0.23684210526315788,0.4473684210526316,0.4736842105263158,-0.15789473684210525,-0.3157894736842105,19,28,31,33,0,2,0.5868081716228251,-0.3433321677439357,1,0,2.75,12,7,48,3.0,6,3,-9,-2,10.0,7.0,1.0,11.0,0.7496121288898121,0.10993287691303899,0.05584845657269158,0,1
