HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Arsenal,Leicester,H,1.8556701030927834,0.9174311926605504,10,1.4220183486238531,1.3058419243986255,3,9,4,0,1.53,4.5,6.5,0,0.5,0.15789473684210525,0.34210526315789475,0.3157894736842105,0.2894736842105263,0.39473684210526316,0.1842105263157895,-0.13157894736842107,-0.05263157894736842,25,31,22,38,0,0,0.43365175446893023,-0.38841073173807505,0,0,2.0,3,0,16,-7.0,5,7,-6,-16,5.0,12.0,6.0,9.0,0.6069217484983966,0.1702365655139298,0.1676233059877904,0,1
Brighton,Man City,A,0.8247422680412371,1.146788990825688,2,2.0642201834862384,0.4467353951890034,4,3,10,0,11.0,5.5,1.33,0,0.23684210526315788,0.34210526315789475,0.42105263157894735,0.8421052631578947,0.10526315789473684,0.05263157894736842,-0.6052631578947368,0.2368421052631579,0.3684210526315789,61,45,14,13,0,1,-1.2394779154450013,0.7000535956366847,0,0,-3.0,0,4,-60,15.0,-7,-2,16,1,18.0,3.0,15.0,1.0,0.06847208862842244,0.14600526928929947,0.7471719847742377,0,-1
Chelsea,Burnley,A,1.0309278350515463,0.7339449541284403,6,0.9174311926605504,0.7560137457044673,5,8,5,0,1.25,6.5,15.0,0,0.5526315789473685,0.18421052631578946,0.2631578947368421,0.3684210526315789,0.3157894736842105,0.3157894736842105,0.18421052631578955,-0.13157894736842105,-0.05263157894736842,16,20,17,22,1,1,0.11349664239099588,-0.022068791576027036,0,1,0.6666666666666667,6,4,16,-15.0,3,1,-4,-5,1.0,16.0,5.0,7.0,0.5586952403044737,0.2762689881589699,0.16186429922204806,0,-1
Crystal Palace,Huddersfield,A,0.9965635738831615,1.238532110091743,4,0.5504587155963302,1.134020618556701,6,12,9,0,1.83,3.6,5.0,0,0.2894736842105263,0.2894736842105263,0.42105263157894735,0.23684210526315788,0.2631578947368421,0.5,0.052631578947368446,0.026315789473684237,-0.07894736842105265,16,12,25,33,0,2,0.44610485828683133,0.10451149153504202,1,0,-2.25,0,7,7,-4.0,3,-2,4,-8,14.0,18.0,11.0,16.0,0.5689856543052403,0.2588448419156709,0.16737106258315979,0,-1
Everton,Stoke,H,0.9621993127147765,1.0091743119266054,4,0.6880733944954128,1.3058419243986255,1,6,7,0,1.7,3.8,5.75,1,0.34210526315789475,0.2631578947368421,0.39473684210526316,0.18421052631578946,0.3157894736842105,0.5,0.15789473684210528,-0.05263157894736842,-0.10526315789473684,20,15,30,38,0,1,0.2741259182193637,-0.29666761247202,2,0,-2.25,1,5,16,-6.0,-1,3,5,-8,7.0,13.0,8.0,18.0,0.5645140546392339,0.23343882159080734,0.19233467061647827,0,1
Southampton,Swansea,D,0.6872852233676975,1.1926605504587156,2,0.5045871559633027,1.099656357388316,0,13,0,1,1.62,4.0,6.5,1,0.18421052631578946,0.39473684210526316,0.42105263157894735,0.21052631578947367,0.23684210526315788,0.5526315789473685,-0.02631578947368421,0.15789473684210528,-0.13157894736842113,17,11,24,32,1,1,0.18269806740439476,0.09300419307039953,1,1,-0.5,4,4,3,-6.0,13,2,6,-8,9.0,15.0,17.0,19.0,0.48297924181320356,0.30368724812322706,0.21171320051050718,0,0
Watford,Liverpool,D,0.9278350515463917,1.4220183486238531,4,1.7889908256880735,0.9621993127147765,5,3,3,1,6.0,4.2,1.62,0,0.2894736842105263,0.21052631578947367,0.5,0.5526315789473685,0.3157894736842105,0.13157894736842105,-0.26315789473684215,-0.10526315789473684,0.368421052631579,45,39,10,28,1,1,-0.8611557741416819,0.4598190359090766,1,1,0.25,7,5,-34,13.0,0,-1,6,-18,17.0,4.0,14.0,4.0,0.15202357616721127,0.18279595795808118,0.6320267112627305,0,0
West Brom,Bournemouth,H,0.7216494845360825,1.3302752293577982,6,0.8715596330275229,1.0652920962199313,2,8,2,0,2.4,3.3,3.3,1,0.15789473684210525,0.34210526315789475,0.5,0.2894736842105263,0.2894736842105263,0.42105263157894735,-0.13157894736842107,0.05263157894736842,0.07894736842105265,26,19,30,31,1,1,-0.14991014849144046,0.2649831331378669,1,1,-0.25,3,4,-13,2.0,6,4,7,-1,10.0,8.0,20.0,10.0,0.3572670423558514,0.2890980233630048,0.3515704321615563,0,1
Man United,West Ham,H,1.3058419243986255,0.4128440366972477,6,1.1009174311926604,1.443298969072165,1,11,1,2,1.3,5.75,12.0,1,0.6578947368421053,0.15789473684210525,0.18421052631578946,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.3947368421052632,-0.15789473684210525,-0.23684210526315788,24,24,26,42,0,1,0.20492449320596506,-1.0304549323749173,1,1,1.75,7,4,39,-5.0,10,5,0,-16,6.0,11.0,2.0,13.0,0.7538010676724679,0.12912932994737117,0.06232981687515127,0,1
Newcastle,Tottenham,A,0.7216494845360825,0.7798165137614679,3,1.5596330275229358,0.6872852233676975,6,5,7,1,5.5,4.0,1.7,2,0.3157894736842105,0.21052631578947367,0.47368421052631576,0.6052631578947368,0.21052631578947367,0.18421052631578946,-0.2894736842105263,0.0,0.2894736842105263,40,34,16,20,0,3,-0.8379835429868533,0.0925312903937704,0,0,-1.75,5,9,-33,16.0,-2,-3,6,-4,18.0,2.0,12.0,3.0,0.21174467799020386,0.261188651996987,0.5223001593686123,0,-1
Bournemouth,Watford,A,0.8934707903780068,1.3761467889908257,2,0.7798165137614679,1.134020618556701,7,8,5,1,2.0,3.6,4.0,0,0.2894736842105263,0.2894736842105263,0.42105263157894735,0.2894736842105263,0.21052631578947367,0.5,0.0,0.07894736842105265,-0.07894736842105265,27,17,31,33,1,1,0.11365427661653893,0.24212617043412465,0,0,0.75,6,3,3,-9.0,3,-5,10,-2,8.0,17.0,10.0,14.0,0.48562971440061625,0.23813500475590296,0.26642358999154264,1,-1
Burnley,West Brom,A,0.549828178694158,0.7798165137614679,0,0.4587155963302752,0.9278350515463917,1,5,5,0,2.63,3.2,3.0,0,0.3684210526315789,0.3157894736842105,0.3157894736842105,0.15789473684210525,0.34210526315789475,0.5,0.21052631578947367,-0.026315789473684237,-0.1842105263157895,21,10,29,27,1,0,0.09111258236388281,-0.1480185377849238,0,0,2.0,9,0,23,6.0,0,-1,11,2,16.0,10.0,7.0,20.0,0.5119369666852868,0.3172342457349109,0.16956164902730514,1,-1
Leicester,Brighton,H,0.859106529209622,1.0091743119266054,4,0.4587155963302752,0.9965635738831615,2,6,2,1,1.73,3.8,5.5,1,0.3157894736842105,0.2894736842105263,0.39473684210526316,0.23684210526315788,0.34210526315789475,0.42105263157894735,0.07894736842105263,-0.05263157894736842,-0.02631578947368418,24,10,25,29,1,1,0.40039093287934685,0.012610738043443925,1,0,0.0,5,5,7,-6.0,4,2,14,-4,12.0,18.0,9.0,15.0,0.5682103592763172,0.2312834520719094,0.19026615735144992,1,1
Liverpool,Crystal Palace,H,1.5463917525773194,0.4587155963302752,13,0.7339449541284403,0.9621993127147765,1,4,2,2,1.36,5.25,9.5,1,0.5526315789473685,0.3157894736842105,0.13157894736842105,0.2894736842105263,0.2894736842105263,0.42105263157894735,0.26315789473684215,0.02631578947368418,-0.2894736842105263,29,16,27,28,0,1,0.8124467984488791,-0.5034837163845014,1,1,2.25,10,5,31,-10.0,2,12,13,-1,4.0,14.0,4.0,11.0,0.7191524066702365,0.14026658380235532,0.08436490379748024,1,1
Southampton,West Ham,H,0.6872852233676975,1.1926605504587156,5,1.1009174311926604,1.443298969072165,8,7,2,1,1.75,3.8,5.25,0,0.18421052631578946,0.39473684210526316,0.42105263157894735,0.2631578947368421,0.3157894736842105,0.42105263157894735,-0.07894736842105263,0.07894736842105265,0.0,24,24,26,42,1,0,-0.4136322078249629,-0.2506384186134494,1,1,1.5,4,1,-6,-2.0,5,-3,0,-16,9.0,11.0,17.0,13.0,0.4363027782974849,0.2551801456166337,0.3026357170829528,1,1
Stoke,Arsenal,H,0.6872852233676975,1.3761467889908257,4,0.9174311926605504,1.0652920962199313,6,2,9,1,4.5,3.8,1.85,0,0.18421052631578946,0.3157894736842105,0.5,0.5,0.15789473684210525,0.34210526315789475,-0.3157894736842105,0.15789473684210525,0.15789473684210525,54,20,20,31,2,2,-0.23014596929285291,0.3108546927708944,0,1,-2.75,3,7,-30,8.0,-7,-2,34,-11,13.0,5.0,18.0,6.0,0.17889856593395487,0.1968414708446755,0.5982061615169929,1,1
Swansea,Man United,A,0.5841924398625429,1.1009174311926604,1,1.3761467889908257,0.6529209621993127,8,3,5,1,11.0,5.0,1.36,0,0.21052631578947367,0.23684210526315788,0.5526315789473685,0.6578947368421053,0.15789473684210525,0.18421052631578946,-0.44736842105263164,0.07894736842105263,0.368421052631579,38,30,9,19,2,2,-0.7919543491282828,0.44799646899334766,0,1,-2.25,3,9,-48,9.0,-2,-7,8,-10,15.0,6.0,19.0,2.0,0.1050885073889655,0.23833190876376176,0.6502554023433775,1,-1
Huddersfield,Newcastle,H,0.549828178694158,1.146788990825688,3,0.8256880733944953,1.0309278350515463,5,7,3,1,2.5,3.25,3.2,0,0.23684210526315788,0.2631578947368421,0.5,0.3157894736842105,0.21052631578947367,0.47368421052631576,-0.07894736842105263,0.05263157894736842,0.026315789473684237,21,18,17,30,1,0,-0.27585989470033734,0.1158611557741418,0,0,1.5,6,0,-7,0.0,4,-2,3,-13,18.0,18.0,16.0,12.0,0.27836316038312175,0.33170230197589834,0.3892507160043566,1,1
Tottenham,Chelsea,A,1.374570446735395,0.7339449541284403,6,1.4678899082568806,0.7560137457044673,2,14,3,2,2.1,3.6,3.75,0,0.6052631578947368,0.21052631578947367,0.18421052631578946,0.5526315789473685,0.18421052631578946,0.2631578947368421,0.05263157894736836,0.02631578947368421,-0.07894736842105263,30,32,16,22,1,2,-0.09331946152148562,-0.022068791576027036,0,1,1.0,9,7,7,1.0,11,4,-2,-6,2.0,1.0,3.0,5.0,0.5209812848320765,0.2439663557037408,0.22725738753749009,1,-1
Man City,Everton,D,2.0962199312714778,0.6422018348623852,6,0.7339449541284403,1.2371134020618555,2,7,1,0,1.33,5.75,10.0,0,0.8421052631578947,0.10526315789473684,0.05263157894736842,0.34210526315789475,0.2631578947368421,0.39473684210526316,0.49999999999999994,-0.15789473684210525,-0.34210526315789475,28,16,22,36,0,2,1.3622749771430374,-0.5949115671994702,0,0,2.25,12,8,51,-4.0,6,4,12,-14,3.0,7.0,1.0,8.0,0.754453067587534,0.06995577182928259,0.02791289832169467,1,0
Bournemouth,Man City,A,0.8934707903780068,1.3761467889908257,3,2.0642201834862384,0.4467353951890034,8,2,5,0,11.0,6.0,1.3,1,0.2894736842105263,0.2894736842105263,0.42105263157894735,0.8421052631578947,0.10526315789473684,0.05263157894736842,-0.5526315789473684,0.1842105263157895,0.3684210526315789,61,45,14,13,2,3,-1.1707493931082316,0.9294113938018222,0,0,-3.75,4,10,-56,5.0,-3,-5,16,1,8.0,3.0,10.0,1.0,0.07596246282017316,0.13116910296394982,0.7283065875427026,2,-1
Crystal Palace,Swansea,A,0.9965635738831615,1.238532110091743,3,0.5045871559633027,1.099656357388316,3,1,1,0,1.95,3.5,4.33,1,0.2894736842105263,0.2894736842105263,0.42105263157894735,0.21052631578947367,0.23684210526315788,0.5526315789473685,0.07894736842105265,0.052631578947368446,-0.13157894736842113,17,11,24,32,1,1,0.4919764179198588,0.138875752703427,1,1,1.5,5,4,11,-1.0,0,0,6,-8,14.0,15.0,11.0,19.0,0.5563295949827904,0.26606375491396306,0.1735360367512147,2,-1
Huddersfield,Southampton,D,0.549828178694158,1.146788990825688,6,0.7798165137614679,1.0309278350515463,3,5,4,0,3.9,3.4,2.1,2,0.23684210526315788,0.2631578947368421,0.5,0.18421052631578946,0.39473684210526316,0.42105263157894735,0.05263157894736842,-0.13157894736842107,0.07894736842105265,20,17,26,30,0,0,-0.22998833506730987,0.1158611557741418,1,1,-0.5,2,2,1,9.0,1,3,3,-4,18.0,9.0,16.0,17.0,0.33473961216795295,0.32256827833609064,0.3418806197729576,2,0
