HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Aston Villa,Wigan,A,0.8992248062015504,0.7843137254901961,5,0.8823529411764706,1.7054263565891472,7,4,6,0,1.67,3.6,5.5,0,0.4473684210526316,0.34210526315789475,0.21052631578947367,0.23684210526315788,0.23684210526315788,0.5263157894736842,0.2105263157894737,0.10526315789473686,-0.3157894736842105,19,18,24,55,0,0,0.01687186502507987,-0.9211126310989511,0,0,-4.0,0,3,28,-6.0,-2,-2,1,-31,6.0,12.0,6.0,16.0,0.7486691060725481,0.14473664123041052,0.0675058852949184,0,-1
Blackburn,Man City,A,0.8682170542635658,0.8823529411764706,9,1.5686274509803921,0.7751937984496124,5,5,4,0,3.6,3.25,2.1,0,0.34210526315789475,0.2894736842105263,0.3684210526315789,0.47368421052631576,0.34210526315789475,0.18421052631578946,-0.13157894736842102,-0.05263157894736842,0.18421052631578946,41,32,20,25,0,0,-0.7004103967168264,0.10715914272685811,0,0,-3.0,0,6,-17,3.0,1,4,9,-5,13.0,10.0,10.0,5.0,0.2863194352235913,0.25339991020109226,0.4540887597967826,0,-1
Bolton,Sunderland,A,0.8062015503875969,1.5196078431372548,3,0.7843137254901961,1.1472868217054264,13,4,7,0,2.25,3.25,3.25,0,0.2631578947368421,0.23684210526315788,0.5,0.2894736842105263,0.2894736842105263,0.42105263157894735,-0.026315789473684237,-0.052631578947368446,0.07894736842105265,32,16,19,37,0,1,0.02188782489740082,0.37232102143182844,0,1,-1.0,0,6,-5,-2.0,-3,-10,16,-18,14.0,16.0,14.0,13.0,0.41792448542634436,0.2563487071401604,0.3200475252042957,0,-1
Chelsea,Hull,H,2.1085271317829455,0.6862745098039216,12,0.588235294117647,1.4263565891472867,3,12,4,0,1.17,6.5,21.0,0,0.7105263157894737,0.13157894736842105,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.5263157894736842,0.5526315789473684,-0.18421052631578946,-0.3684210526315789,22,12,29,46,0,1,1.5202918376652985,-0.7400820793433651,0,2,3.0,12,4,56,-14.0,8,9,10,-17,3.0,17.0,1.0,19.0,0.6518910170864272,0.029021730696190958,0.008784056523368626,0,1
Everton,Arsenal,A,1.0852713178294573,1.0294117647058825,5,1.7156862745098038,0.8062015503875969,9,4,9,1,3.2,3.25,2.3,0,0.42105263157894735,0.34210526315789475,0.23684210526315788,0.6052631578947368,0.15789473684210525,0.23684210526315788,-0.1842105263157895,0.1842105263157895,0.0,48,35,15,26,1,1,-0.6304149566803465,0.22321021431828558,0,2,-0.5,6,6,-14,1.0,-5,-4,13,-11,5.0,4.0,8.0,3.0,0.37114781320714885,0.2372065138736749,0.3807899780185372,0,-1
Portsmouth,Fulham,A,0.7441860465116278,1.5686274509803921,4,0.588235294117647,0.9612403100775193,3,6,4,0,2.63,3.2,2.75,0,0.18421052631578946,0.18421052631578946,0.631578947368421,0.3157894736842105,0.2631578947368421,0.42105263157894735,-0.13157894736842105,-0.07894736842105263,0.21052631578947367,27,12,15,31,0,1,0.15595075239398082,0.6073871409028728,0,1,-1.0,0,3,-18,8.0,2,1,15,-16,15.0,7.0,20.0,12.0,0.33796318627268973,0.3146761443061586,0.3463571921716293,0,-1
Stoke,Burnley,H,0.7441860465116278,1.0294117647058825,5,0.8333333333333334,1.6124031007751938,5,3,6,1,1.91,3.3,4.33,1,0.2894736842105263,0.3684210526315789,0.34210526315789475,0.21052631578947367,0.15789473684210525,0.631578947368421,0.07894736842105265,0.21052631578947367,-0.28947368421052627,25,17,30,52,1,1,-0.08914728682170558,-0.5829913360693113,0,2,2.0,4,3,17,-7.0,-3,0,8,-22,11.0,18.0,11.0,18.0,0.5796443611207603,0.23913229742604752,0.17330088421924042,0,1
Wolves,West Ham,A,0.40310077519379844,1.0784313725490196,11,0.8333333333333334,1.1472868217054264,13,8,6,1,2.63,3.3,2.7,0,0.23684210526315788,0.2894736842105263,0.47368421052631576,0.21052631578947367,0.2894736842105263,0.5,0.02631578947368421,0.0,-0.026315789473684237,30,17,29,37,1,0,-0.4302325581395349,-0.06885544915640684,1,2,-0.25,3,1,3,9.0,2,-2,13,-8,18.0,9.0,15.0,17.0,0.426556342034391,0.27941065297799195,0.2912048472740743,0,-1
Man United,Birmingham,H,1.6124031007751938,0.588235294117647,17,0.9313725490196079,1.0542635658914727,4,13,2,2,1.2,6.0,17.0,1,0.7105263157894737,0.10526315789473684,0.18421052631578946,0.34210526315789475,0.2894736842105263,0.3684210526315789,0.3684210526315789,-0.1842105263157895,-0.18421052631578946,19,19,13,34,0,1,0.6810305517555859,-0.4660282717738258,0,0,1.75,10,3,35,-17.0,11,13,0,-21,1.0,18.0,2.0,9.0,0.7777124455297051,0.1379187666631901,0.04923236706492372,0,1
Tottenham,Liverpool,H,1.2403100775193798,0.588235294117647,11,0.8823529411764706,0.6201550387596899,3,6,5,1,3.2,3.25,2.3,1,0.5526315789473685,0.18421052631578946,0.2631578947368421,0.47368421052631576,0.23684210526315788,0.2894736842105263,0.07894736842105271,-0.05263157894736842,-0.026315789473684237,43,18,15,20,0,1,0.35795713634290927,-0.031919744642042946,0,2,0.25,7,6,7,6.0,1,8,25,-5,8.0,2.0,4.0,7.0,0.4750154385450438,0.26693060998388,0.2539322644391574,0,1
