HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Blackburn,Wolves,A,0.8609271523178808,1.4285714285714286,8,0.9090909090909092,1.2913907284768213,4,12,6,0,2.2,3.2,3.5,0,0.21052631578947367,0.18421052631578946,0.6052631578947368,0.13157894736842105,0.2631578947368421,0.6052631578947368,0.07894736842105263,-0.07894736842105263,0.0,19,21,43,39,0,0,-0.04816375677302842,0.13718070009460726,0,0,-2.0,0,3,6,-2.0,6,4,-2,4,15.0,17.0,19.0,20.0,0.543652305313699,0.20049752139619295,0.2264212341986389,0,-1
Fulham,Aston Villa,D,1.1920529801324502,1.1255411255411256,9,0.7359307359307359,0.9271523178807947,1,2,3,0,2.2,3.2,3.5,1,0.3684210526315789,0.2631578947368421,0.3684210526315789,0.18421052631578946,0.4473684210526316,0.3684210526315789,0.18421052631578946,-0.1842105263157895,0.0,20,17,25,28,0,0,0.4561222442017143,0.19838880766033096,1,0,-2.0,1,4,14,-1.0,-1,8,3,-3,8.0,9.0,8.0,16.0,0.5071815837110835,0.2741687494791298,0.21525422174734254,0,0
Liverpool,Sunderland,D,0.7947019867549668,0.6926406926406926,4,0.8225108225108225,0.9602649006622517,6,6,3,0,1.57,3.6,7.0,1,0.3684210526315789,0.2631578947368421,0.3684210526315789,0.2894736842105263,0.3157894736842105,0.39473684210526316,0.0789473684210526,-0.05263157894736842,-0.026315789473684237,26,19,17,29,0,0,-0.027808835755855688,-0.26762420802155906,1,1,1.6666666666666667,7,2,7,-4.0,3,-2,7,-12,6.0,10.0,9.0,14.0,0.458351644211565,0.30359513467786453,0.2364956597883806,0,0
Newcastle,Arsenal,D,0.9602649006622517,0.7359307359307359,1,1.5151515151515151,1.0596026490066224,4,2,5,2,3.75,3.25,2.1,1,0.5,0.21052631578947367,0.2894736842105263,0.5526315789473685,0.18421052631578946,0.2631578947368421,-0.052631578947368474,0.02631578947368421,0.026315789473684237,39,35,17,32,0,0,-0.5548866144892635,-0.3236719130758865,1,2,2.25,8,4,-5,9.0,-3,-3,4,-15,13.0,4.0,5.0,3.0,0.36633550510329443,0.23478201875152632,0.38707187486918804,0,0
QPR,Bolton,A,0.7947019867549668,1.0822510822510822,7,0.9956709956709957,1.2582781456953642,7,3,2,1,2.4,3.25,3.0,1,0.2631578947368421,0.18421052631578946,0.5526315789473685,0.2631578947368421,0.15789473684210525,0.5789473684210527,0.0,0.02631578947368421,-0.02631578947368418,23,23,39,38,1,0,-0.20096900891602887,-0.17602706344428198,0,0,2.75,7,0,1,6.0,1,0,0,1,18.0,12.0,17.0,18.0,0.49074299143224764,0.22578040298096733,0.2688465514163947,0,-1
Wigan,Norwich,D,0.728476821192053,1.1688311688311688,11,1.0389610389610389,1.1920529801324502,3,7,3,1,2.2,3.2,3.5,0,0.2894736842105263,0.2631578947368421,0.4473684210526316,0.3157894736842105,0.2894736842105263,0.39473684210526316,-0.02631578947368418,-0.026315789473684237,0.05263157894736842,28,24,30,36,0,0,-0.3104842177689858,-0.023221811301281425,0,2,-0.75,3,6,-4,-2.0,4,8,4,-6,16.0,18.0,15.0,10.0,0.4124062197109818,0.24416375415053856,0.33493895477431845,0,0
Stoke,Chelsea,D,0.8278145695364238,0.8658008658008658,3,1.0389610389610389,0.728476821192053,11,4,6,1,5.5,3.5,1.7,1,0.2894736842105263,0.3157894736842105,0.39473684210526316,0.47368421052631576,0.2631578947368421,0.2631578947368421,-0.18421052631578944,0.05263157894736842,0.13157894736842107,41,24,24,22,1,1,-0.211146469424615,0.13732404460881276,0,1,-2.75,4,9,-19,12.0,-2,-8,17,2,14.0,2.0,13.0,6.0,0.24461021991084186,0.2668625324232935,0.4843963806693525,0,0
West Brom,Man United,A,0.695364238410596,0.9523809523809524,8,1.6017316017316017,0.46357615894039733,5,6,5,0,6.5,4.0,1.53,2,0.34210526315789475,0.21052631578947367,0.4473684210526316,0.7368421052631579,0.13157894736842105,0.13157894736842105,-0.3947368421052631,0.07894736842105263,0.3157894736842105,52,37,19,14,1,1,-0.9063673633210056,0.4888047934405551,1,0,-1.25,5,8,-42,10.0,1,3,15,5,11.0,1.0,12.0,2.0,0.1603703099687615,0.21410396816928523,0.6110137422601263,0,-1
Man City,Swansea,H,1.8211920529801324,0.5194805194805194,19,0.7359307359307359,1.0927152317880795,5,7,4,0,1.29,5.0,13.0,0,0.7368421052631579,0.13157894736842105,0.13157894736842105,0.3157894736842105,0.2894736842105263,0.39473684210526316,0.42105263157894735,-0.15789473684210528,-0.26315789473684215,27,17,18,33,0,1,1.0852613170493965,-0.5732347123075601,0,1,4.25,12,4,42,-15.0,3,14,10,-15,3.0,18.0,1.0,11.0,0.7590449798426935,0.13326314208055082,0.060348540834195934,0,1
Arsenal,Liverpool,A,1.2913907284768213,0.7359307359307359,6,0.9956709956709957,0.7947019867549668,8,9,5,0,2.5,3.25,2.9,0,0.5526315789473685,0.18421052631578946,0.2631578947368421,0.3684210526315789,0.2631578947368421,0.3684210526315789,0.18421052631578955,-0.07894736842105263,-0.10526315789473684,24,23,16,24,1,1,0.29571973280582564,-0.05877125082423096,2,0,0.0,9,8,18,-2.0,4,-2,1,-8,4.0,6.0,3.0,9.0,0.5185776078504959,0.2457537981161737,0.22825140131511312,0,-1
Aston Villa,Blackburn,H,0.662251655629139,1.0822510822510822,6,0.9523809523809524,1.4900662251655628,6,5,4,0,1.73,3.4,5.5,1,0.18421052631578946,0.4473684210526316,0.3684210526315789,0.21052631578947367,0.18421052631578946,0.6052631578947368,-0.02631578947368421,0.26315789473684215,-0.2368421052631579,26,22,33,45,2,0,-0.2901292967518134,-0.4078151429144805,1,1,-0.25,4,2,7,-6.0,1,0,4,-12,9.0,15.0,16.0,19.0,0.4857636609744918,0.24800665478001618,0.2590438403572156,1,1
Chelsea,West Brom,H,1.3576158940397351,1.0389610389610389,12,1.0389610389610389,0.9933774834437086,4,7,4,1,1.3,5.5,10.0,0,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.34210526315789475,0.21052631578947367,0.4473684210526316,0.13157894736842102,0.05263157894736842,-0.1842105263157895,21,24,22,30,2,1,0.3186548550786963,0.04558355551733029,0,2,0.0,3,6,17,-9.0,3,8,-3,-8,2.0,11.0,6.0,12.0,0.5899229898084294,0.22189018403202632,0.17561234112591578,1,1
Everton,QPR,A,0.9271523178807947,0.6493506493506493,7,0.8225108225108225,1.3576158940397351,3,2,1,2,1.53,3.8,7.0,0,0.39473684210526316,0.2894736842105263,0.3157894736842105,0.2631578947368421,0.18421052631578946,0.5526315789473685,0.13157894736842107,0.10526315789473686,-0.23684210526315796,24,19,25,41,1,1,0.10464149536997214,-0.7082652446890858,0,2,1.0,6,3,19,-11.0,1,4,5,-16,7.0,18.0,7.0,17.0,0.6172045496257382,0.22362198030357266,0.1484382128902357,1,-1
Sunderland,Newcastle,A,0.8609271523178808,0.7359307359307359,5,1.1688311688311688,1.1258278145695364,10,7,6,0,2.2,3.25,3.4,1,0.2894736842105263,0.3157894736842105,0.39473684210526316,0.5,0.21052631578947367,0.2894736842105263,-0.21052631578947367,0.10526315789473684,0.10526315789473684,29,27,17,34,1,1,-0.307904016513288,-0.3898970786388005,1,1,0.25,1,4,-20,-3.0,1,-5,2,-17,10.0,13.0,14.0,5.0,0.4050707335597193,0.2768686801024877,0.31505218334970586,1,-1
Swansea,Wigan,D,0.8940397350993377,0.7792207792207791,6,0.8658008658008658,1.1589403973509933,4,7,7,0,2.1,3.3,3.6,1,0.3157894736842105,0.2894736842105263,0.39473684210526316,0.2894736842105263,0.2631578947368421,0.4473684210526316,0.02631578947368418,0.026315789473684237,-0.05263157894736842,22,20,27,35,1,1,0.028238869298471858,-0.37971961813021415,1,1,0.25,4,7,4,2.0,0,2,2,-8,18.0,16.0,11.0,15.0,0.5060136057396978,0.26006115076438063,0.22895673836521016,1,0
Bolton,Man City,A,0.7615894039735099,1.6883116883116884,4,1.645021645021645,0.5629139072847682,9,7,8,0,4.75,3.5,1.8,0,0.2631578947368421,0.15789473684210525,0.5789473684210527,0.7368421052631579,0.13157894736842105,0.13157894736842105,-0.47368421052631576,0.02631578947368421,0.44736842105263164,55,38,12,17,0,1,-0.8834322410481351,1.1253977810269202,1,1,-3.0,0,7,-53,9.0,-1,-5,17,-5,12.0,3.0,18.0,1.0,0.0689435143190936,0.11901084902772625,0.7295021738106868,1,-1
Norwich,Stoke,D,0.9271523178807947,1.2987012987012987,7,0.4761904761904762,1.0927152317880795,5,3,6,1,2.6,3.3,2.75,0,0.3157894736842105,0.2894736842105263,0.39473684210526316,0.2894736842105263,0.3157894736842105,0.39473684210526316,0.02631578947368418,-0.02631578947368418,0.0,25,11,20,33,1,3,0.45096184169031844,0.2059860669132192,0,0,-0.5,5,9,2,4.0,-3,2,14,-13,18.0,14.0,10.0,13.0,0.4887340605211709,0.2557622718243523,0.24982769923573822,1,0
Wolves,Fulham,H,0.6291390728476821,1.8614718614718615,7,0.5194805194805194,0.8278145695364238,4,7,8,0,2.38,3.25,3.1,0,0.13157894736842105,0.2631578947368421,0.6052631578947368,0.3684210526315789,0.2631578947368421,0.3684210526315789,-0.23684210526315788,0.0,0.2368421052631579,36,12,26,25,2,1,0.10965855336716268,1.0336572919354376,0,1,0.25,2,4,-27,9.0,-1,3,24,1,17.0,8.0,20.0,8.0,0.26708243972610485,0.2425227531800563,0.481831539550066,1,1
Man United,Tottenham,H,1.7218543046357615,0.8225108225108225,21,1.1688311688311688,0.7947019867549668,12,11,3,3,1.67,3.75,5.5,0,0.7368421052631579,0.13157894736842105,0.13157894736842105,0.5263157894736842,0.23684210526315788,0.23684210526315788,0.21052631578947367,-0.10526315789473684,-0.10526315789473684,39,27,17,24,0,1,0.5530231358045927,0.027808835755855688,1,0,2.0,9,8,20,-4.0,8,9,12,-7,1.0,5.0,2.0,4.0,0.6053289475731085,0.20736320902011654,0.16908392110282963,1,1
Aston Villa,Wolves,D,0.662251655629139,1.0822510822510822,5,0.9090909090909092,1.2913907284768213,2,11,8,1,2.1,3.25,3.75,1,0.18421052631578946,0.4473684210526316,0.3684210526315789,0.13157894736842105,0.2631578947368421,0.6052631578947368,0.05263157894736842,0.1842105263157895,-0.2368421052631579,19,21,43,39,1,0,-0.24683925346177016,-0.2091396462257391,3,0,0.0,4,3,13,-8.0,3,3,-2,4,9.0,17.0,16.0,20.0,0.545073229149876,0.24189173228486024,0.20508901882109906,1,0
Blackburn,Everton,A,0.8609271523178808,1.4285714285714286,6,0.9523809523809524,0.8278145695364238,4,5,4,1,3.3,3.25,2.25,1,0.21052631578947367,0.18421052631578946,0.6052631578947368,0.39473684210526316,0.2894736842105263,0.3157894736842105,-0.1842105263157895,-0.10526315789473686,0.2894736842105263,28,22,15,25,1,1,-0.09145380006307169,0.6007568590350048,0,2,1.0,7,4,-25,8.0,1,2,6,-10,15.0,7.0,19.0,7.0,0.2532868226693757,0.24502081267297018,0.4938750246446644,2,-1
Chelsea,Norwich,H,1.3576158940397351,1.0389610389610389,8,1.0389610389610389,1.1920529801324502,6,8,6,2,1.2,6.5,15.0,0,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.2894736842105263,0.39473684210526316,0.15789473684210525,-0.026315789473684237,-0.13157894736842107,28,24,30,36,1,2,0.3186548550786963,-0.15309194117141134,1,0,-0.5,7,8,17,-16.0,2,2,4,-6,2.0,18.0,6.0,10.0,0.6348507394577572,0.1796860278338868,0.14974410722739467,2,1
Liverpool,Bolton,H,0.7947019867549668,0.6926406926406926,9,0.9956709956709957,1.2582781456953642,4,12,6,0,1.4,4.5,8.5,1,0.3684210526315789,0.2631578947368421,0.3684210526315789,0.2631578947368421,0.15789473684210525,0.5789473684210527,0.10526315789473684,0.10526315789473684,-0.21052631578947373,23,23,39,38,1,1,-0.20096900891602887,-0.5656374530546716,0,1,-0.5,4,7,16,-6.0,6,5,0,1,6.0,12.0,9.0,18.0,0.6356613075687776,0.20578555894512643,0.14214591055759482,2,1
Swansea,Sunderland,D,0.8940397350993377,0.7792207792207791,6,0.8225108225108225,0.9602649006622517,8,7,4,1,2.38,3.3,3.0,1,0.3157894736842105,0.2894736842105263,0.39473684210526316,0.2894736842105263,0.3157894736842105,0.39473684210526316,0.02631578947368418,-0.02631578947368418,0.0,26,19,17,29,1,0,0.07152891258851513,-0.18104412144147253,0,1,-1.25,7,9,2,8.0,3,-2,7,-12,18.0,10.0,11.0,14.0,0.3889952162835037,0.29916657267869284,0.31026438501629483,2,0
Wigan,QPR,H,0.728476821192053,1.1688311688311688,10,0.8225108225108225,1.3576158940397351,9,8,7,0,2.25,3.3,3.25,1,0.2894736842105263,0.2631578947368421,0.4473684210526316,0.2631578947368421,0.18421052631578946,0.5526315789473685,0.026315789473684237,0.07894736842105263,-0.10526315789473689,24,19,25,41,2,1,-0.09403400131876949,-0.18878472520856637,1,0,-0.75,4,4,6,-2.0,1,1,5,-16,16.0,18.0,15.0,17.0,0.4618747817231542,0.2521600876522376,0.27954871335577103,2,1
Man United,Arsenal,H,1.7218543046357615,0.8225108225108225,15,1.5151515151515151,1.0596026490066224,13,3,5,1,1.5,4.33,6.5,1,0.7368421052631579,0.13157894736842105,0.13157894736842105,0.5526315789473685,0.18421052631578946,0.2631578947368421,0.18421052631578938,-0.05263157894736842,-0.13157894736842105,39,35,17,32,0,0,0.20670278948424636,-0.23709182649579985,1,0,-1.5,10,10,19,-3.0,-2,2,4,-15,1.0,4.0,2.0,3.0,0.6354466125474025,0.17600992971298382,0.1489355925554497,2,1
Newcastle,Fulham,H,0.9602649006622517,0.7359307359307359,9,0.5194805194805194,0.8278145695364238,9,6,6,1,2.1,3.25,3.75,0,0.5,0.21052631578947367,0.2894736842105263,0.3684210526315789,0.2631578947368421,0.3684210526315789,0.13157894736842107,-0.05263157894736842,-0.0789473684210526,36,12,26,25,1,0,0.44078438118173224,-0.09188383360568797,0,1,-2.0,5,9,13,5.0,0,0,24,1,13.0,8.0,5.0,8.0,0.4929448121591258,0.25049423245918384,0.2499395731151045,2,1
Tottenham,Man City,A,1.2913907284768213,0.7359307359307359,10,1.645021645021645,0.5629139072847682,12,10,5,1,2.88,3.3,2.5,0,0.5263157894736842,0.23684210526315788,0.23684210526315788,0.7368421052631579,0.13157894736842105,0.13157894736842105,-0.21052631578947367,0.10526315789473684,0.10526315789473684,55,38,12,17,0,3,-0.3536309165448237,0.17301682864596768,0,0,-1.5,3,9,-20,2.0,5,-2,17,-5,5.0,3.0,4.0,1.0,0.25814578734100835,0.2472879514715743,0.4872289498511005,2,-1
West Brom,Stoke,A,0.695364238410596,0.9523809523809524,7,0.4761904761904762,1.0927152317880795,1,5,1,2,2.1,3.25,3.75,0,0.34210526315789475,0.21052631578947367,0.4473684210526316,0.2894736842105263,0.3157894736842105,0.39473684210526316,0.05263157894736842,-0.10526315789473684,0.05263157894736842,25,11,20,33,1,2,0.2191737622201198,-0.14033427940712706,0,1,0.25,7,7,2,-3.0,4,6,14,-13,11.0,14.0,12.0,13.0,0.48577150875508285,0.2854931097558673,0.22621669909326284,2,-1
Arsenal,Swansea,H,1.2913907284768213,0.7359307359307359,8,0.7359307359307359,1.0927152317880795,5,4,5,0,1.36,4.75,9.0,0,0.5526315789473685,0.18421052631578946,0.2631578947368421,0.3157894736842105,0.2894736842105263,0.39473684210526316,0.23684210526315796,-0.10526315789473686,-0.13157894736842107,27,17,18,33,0,3,0.5554599925460855,-0.3567844958573436,0,0,0.5,12,9,23,-14.0,-1,3,10,-15,4.0,18.0,3.0,11.0,0.6182845939773234,0.20141300874258128,0.1598322704059641,2,1
