HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Fulham,Stoke,H,0.8026755852842808,1.6740088105726874,2,0.7929515418502202,1.1705685618729096,3,7,5,0,2.4,3.3,3.3,1,0.23684210526315788,0.13157894736842105,0.631578947368421,0.34210526315789475,0.2894736842105263,0.3684210526315789,-0.10526315789473686,-0.15789473684210528,0.2631578947368421,27,18,17,35,1,0,0.009724043434060636,0.5034402486997778,1,1,-2.0,2,7,-18,-1.0,2,-1,9,-18,12.0,13.0,19.0,9.0,0.28250180098513883,0.24402169573721585,0.4651881895823239,6,1
Hull,Aston Villa,D,0.6688963210702341,0.9251101321585904,1,0.748898678414097,1.0702341137123745,4,7,7,0,2.45,3.3,3.2,1,0.2631578947368421,0.18421052631578946,0.5526315789473685,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.0,-0.02631578947368421,0.026315789473684292,22,17,29,32,0,1,-0.08000235734386285,-0.14512398155378414,0,1,0.5,1,3,-1,4.0,0,-3,5,-3,18.0,14.0,16.0,14.0,0.459759059086746,0.2836114023767208,0.2540432462756794,6,0
Liverpool,Crystal Palace,H,1.7725752508361203,0.7929515418502202,7,0.6607929515418502,0.8361204013377928,2,11,3,1,1.2,7.5,17.0,1,0.6842105263157895,0.15789473684210525,0.15789473684210525,0.34210526315789475,0.15789473684210525,0.5,0.34210526315789475,0.0,-0.34210526315789475,18,15,23,25,1,1,1.11178229929427,-0.04316885948757254,0,1,0.25,7,5,39,-11.0,8,5,3,-2,7.0,18.0,2.0,11.0,0.7290385802780921,0.13580313906442096,0.07742365777537957,6,1
Man City,Everton,H,2.1070234113712374,0.5726872246696035,6,1.013215859030837,0.6688963210702341,4,8,1,0,1.67,4.2,5.5,0,0.7105263157894737,0.13157894736842105,0.15789473684210525,0.5526315789473685,0.23684210526315788,0.21052631578947367,0.1578947368421052,-0.10526315789473684,-0.05263157894736842,38,23,19,20,0,1,1.0938075523404003,-0.09620909640063058,0,2,2.0,12,6,14,-4.0,7,2,15,-1,2.0,6.0,1.0,5.0,0.6261196468765042,0.18932958313568982,0.15630985508862974,6,1
Sunderland,Man United,A,0.7023411371237459,1.1894273127753305,2,1.5418502202643172,0.7357859531772576,6,4,4,3,6.0,4.0,1.65,0,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.5,0.18421052631578946,0.3157894736842105,-0.2368421052631579,0.02631578947368421,0.21052631578947367,29,35,21,22,0,1,-0.8395090831405713,0.45364135959807295,0,1,0.0,9,7,-26,16.0,0,-4,-6,-1,17.0,1.0,15.0,7.0,0.237307997514147,0.24703071111006375,0.508427566631985,6,-1
Norwich,Chelsea,A,0.568561872909699,0.7929515418502202,3,1.2334801762114538,0.5351170568561873,8,4,6,0,6.5,4.0,1.62,1,0.21052631578947367,0.23684210526315788,0.5526315789473685,0.6578947368421053,0.18421052631578946,0.15789473684210525,-0.44736842105263164,0.05263157894736842,0.3947368421052632,43,28,11,16,2,1,-0.6649183033017548,0.25783448499403294,1,1,-2.25,1,7,-49,8.0,-2,-5,15,-5,11.0,3.0,18.0,3.0,0.08277722153879524,0.20708826943724148,0.6993617556419666,6,-1
Southampton,Swansea,H,1.0702341137123745,1.013215859030837,4,0.9251101321585904,0.9364548494983277,7,7,4,2,2.1,3.5,3.8,1,0.39473684210526316,0.2894736842105263,0.3157894736842105,0.2894736842105263,0.23684210526315788,0.47368421052631576,0.10526315789473684,0.052631578947368446,-0.15789473684210525,33,21,26,28,0,2,0.14512398155378414,0.07676100953250942,0,1,-0.5,8,9,14,7.0,3,-3,12,-2,16.0,9.0,8.0,12.0,0.501113440466747,0.24428883552869127,0.24666831453560006,6,1
Tottenham,West Ham,A,1.0033444816053512,1.013215859030837,4,0.6607929515418502,0.8361204013377928,5,6,7,2,1.44,4.75,8.5,0,0.5526315789473685,0.15789473684210525,0.2894736842105263,0.2894736842105263,0.18421052631578946,0.5263157894736842,0.26315789473684215,-0.02631578947368421,-0.23684210526315785,25,15,26,25,1,1,0.3425515300635009,0.17709545769304436,0,2,1.5,9,3,29,-5.0,-1,-1,10,1,5.0,10.0,6.0,13.0,0.5309948226509212,0.2527841293937145,0.21026247919092328,6,-1
West Brom,Arsenal,D,0.8026755852842808,1.1894273127753305,4,1.4096916299559472,1.0033444816053512,5,6,2,1,4.9,4.0,1.75,0,0.18421052631578946,0.39473684210526316,0.42105263157894735,0.631578947368421,0.18421052631578946,0.18421052631578946,-0.4473684210526315,0.2105263157894737,0.23684210526315788,36,32,11,30,0,0,-0.6070160446716664,0.18608283116997937,0,0,-3.0,3,12,-43,4.0,4,-1,4,-19,8.0,4.0,17.0,4.0,0.22719444159446842,0.24006213893453415,0.5240217481742567,6,0
Arsenal,Norwich,H,1.2040133779264213,0.4845814977973569,11,0.4845814977973569,1.4715719063545152,6,10,1,0,1.29,6.0,12.0,0,0.631578947368421,0.18421052631578946,0.18421052631578946,0.21052631578947367,0.23684210526315788,0.5526315789473685,0.42105263157894735,-0.05263157894736842,-0.368421052631579,17,11,18,44,0,0,0.7194318801290644,-0.9869904085571584,1,2,4.0,12,1,46,-7.0,9,5,6,-26,4.0,11.0,4.0,18.0,0.7520703230040333,0.15214792598818644,0.0646232233268586,7,1
Chelsea,Cardiff,H,1.4381270903010033,0.4845814977973569,7,0.5286343612334802,1.3043478260869565,3,6,9,1,1.25,6.5,15.0,1,0.6578947368421053,0.18421052631578946,0.15789473684210525,0.18421052631578946,0.23684210526315788,0.5789473684210527,0.4736842105263158,-0.05263157894736842,-0.4210526315789474,20,12,35,39,1,0,0.9094927290675231,-0.8197663282895997,1,0,2.5,7,1,52,-15.0,-3,4,8,-4,3.0,18.0,3.0,20.0,0.8041570982817287,0.09515046209796166,0.029732782842242424,7,1
Everton,Hull,H,1.2709030100334449,0.8370044052863437,6,0.7929515418502202,1.0702341137123745,1,5,7,1,1.45,4.5,9.0,0,0.5526315789473685,0.23684210526315788,0.21052631578947367,0.2631578947368421,0.18421052631578946,0.5526315789473685,0.2894736842105264,0.05263157894736842,-0.3421052631578948,20,18,21,32,2,0,0.47795146818322465,-0.23322970842603086,1,0,1.75,6,1,35,-12.0,-2,5,2,-11,6.0,18.0,5.0,16.0,0.6397489114291741,0.22160554505719982,0.12838444882614555,7,1
Man United,Southampton,D,0.9698996655518395,0.9251101321585904,5,0.9691629955947137,0.7692307692307693,7,4,4,1,1.57,4.33,6.5,0,0.5,0.18421052631578946,0.3157894736842105,0.39473684210526316,0.2894736842105263,0.3157894736842105,0.10526315789473684,-0.10526315789473686,0.0,32,22,23,23,1,2,0.0007366699571257351,0.15587936292782112,1,0,0.5,7,8,8,-15.0,0,-2,10,0,1.0,16.0,7.0,8.0,0.5199573590620342,0.2435746972440178,0.22856913607369525,7,0
Newcastle,Liverpool,D,0.7692307692307693,1.2334801762114538,4,2.1145374449339207,1.0702341137123745,7,3,13,1,4.5,3.9,1.83,0,0.39473684210526316,0.10526315789473684,0.5,0.6842105263157895,0.15789473684210525,0.15789473684210525,-0.2894736842105263,-0.05263157894736842,0.34210526315789475,53,48,18,32,2,1,-1.3453066757031515,0.16324606249907925,1,1,-0.5,3,7,-35,8.0,-10,-3,5,-14,15.0,7.0,10.0,2.0,0.17491385572428444,0.17632782690921425,0.6007899334660316,7,0
Stoke,West Brom,D,0.903010033444816,0.748898678414097,3,0.8370044052863437,1.0702341137123745,5,6,6,0,2.3,3.3,3.5,1,0.34210526315789475,0.2894736842105263,0.3684210526315789,0.18421052631578946,0.39473684210526316,0.42105263157894735,0.15789473684210528,-0.10526315789473684,-0.05263157894736842,24,19,27,32,1,1,0.06600562815847233,-0.32133543529827757,0,0,1.5,7,3,14,5.0,0,-2,5,-5,13.0,8.0,9.0,17.0,0.4913119074244896,0.2605548146873816,0.243201012155371,7,0
