HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Aston Villa,Liverpool,A,1.1703958691910499,1.0451306413301664,6,1.1401425178147269,0.5163511187607573,7,4,2,0,4.0,3.25,1.9,0,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.5526315789473685,0.34210526315789475,0.10526315789473684,-0.13157894736842113,-0.026315789473684237,0.15789473684210525,43,24,13,15,0,0,0.030253351376323012,0.5287795225694091,0,0,-2.0,0,3,-16,7.0,2,-1,19,-2,11.0,4.0,6.0,4.0,0.30921847387434304,0.2525664107013401,0.43181602999310353,0,-1
Bolton,Newcastle,A,0.7917383820998278,0.8551068883610451,9,0.9501187648456056,1.3425129087779692,5,4,3,0,2.5,3.2,2.75,0,0.23684210526315788,0.2631578947368421,0.5,0.2894736842105263,0.2631578947368421,0.4473684210526316,-0.052631578947368446,0.0,0.05263157894736842,25,20,26,39,0,1,-0.15838038274577781,-0.48740602041692416,0,0,-2.5,0,4,-6,-6.0,1,4,5,-13,7.0,13.0,16.0,12.0,0.44735056174734156,0.26458870752605984,0.2836604388913848,0,-1
Derby,Portsmouth,D,0.41308089500860584,2.0427553444180524,5,1.1401425178147269,0.8950086058519794,6,6,6,0,2.8,3.25,2.4,1,0.02631578947368421,0.21052631578947367,0.7631578947368421,0.42105263157894735,0.23684210526315788,0.34210526315789475,-0.39473684210526316,-0.02631578947368421,0.4210526315789474,24,24,14,26,0,0,-0.7270616228061211,1.147746738566073,2,0,-2.333333333333334,1,5,-46,9.0,0,-1,0,-12,18.0,9.0,20.0,8.0,0.09627985028742829,0.21116018353357477,0.6817331901547343,0,0
Everton,Wigan,H,1.1703958691910499,0.8076009501187649,8,0.6175771971496438,1.1703958691910499,4,6,2,2,1.66,3.4,5.5,0,0.5,0.21052631578947367,0.2894736842105263,0.2631578947368421,0.2631578947368421,0.47368421052631576,0.2368421052631579,-0.05263157894736842,-0.18421052631578944,21,13,17,34,1,2,0.5528186720414061,-0.362794919072285,0,1,-0.25,7,7,25,-12.0,4,4,8,-17,6.0,18.0,5.0,14.0,0.6522208431869811,0.2332703943026047,0.10739066954991491,0,1
Middlesbrough,Blackburn,A,0.9294320137693631,1.0926365795724466,6,1.1401425178147269,0.9982788296041308,4,13,3,1,2.37,3.25,2.87,1,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.39473684210526316,0.34210526315789475,0.2631578947368421,-0.13157894736842107,-0.026315789473684237,0.15789473684210525,26,24,19,29,1,1,-0.21071050404536373,0.09435774996831581,2,0,0.25,7,6,-16,2.0,10,2,2,-10,12.0,10.0,13.0,7.0,0.3855501983136193,0.2742872025929372,0.3369329509411787,0,-1
Sunderland,Tottenham,H,0.7917383820998278,0.9976247030878861,4,0.9501187648456056,0.9294320137693631,3,7,2,0,3.4,3.25,2.1,0,0.2894736842105263,0.15789473684210525,0.5526315789473685,0.2894736842105263,0.34210526315789475,0.3684210526315789,0.0,-0.1842105263157895,0.18421052631578955,46,20,34,27,3,1,-0.15838038274577781,0.06819268931852296,1,1,-1.5,3,4,-7,13.0,5,1,26,7,18.0,5.0,15.0,11.0,0.30551170635551506,0.2347672575452452,0.44828401552197816,0,1
West Ham,Man City,A,0.8261617900172117,1.1401425178147269,2,0.8076009501187649,1.1359724612736661,5,5,3,2,2.0,3.2,3.75,0,0.34210526315789475,0.2631578947368421,0.39473684210526316,0.39473684210526316,0.2631578947368421,0.34210526315789475,-0.05263157894736842,0.0,0.05263157894736842,28,17,20,33,0,1,0.018560839898446813,0.004170056541060729,0,2,1.0,6,4,-6,1.0,2,-3,11,-13,15.0,14.0,10.0,9.0,0.44813044135003954,0.2746751773031031,0.27391425894127813,0,-1
Arsenal,Fulham,H,1.2736660929432013,0.5225653206650832,13,0.7600950118764845,0.9982788296041308,9,14,4,0,1.33,4.5,10.0,0,0.631578947368421,0.2894736842105263,0.07894736842105263,0.21052631578947367,0.3157894736842105,0.47368421052631576,0.42105263157894735,-0.02631578947368418,-0.39473684210526316,22,16,31,29,0,0,0.5135710810667168,-0.4757135089390476,0,0,2.25,12,4,47,-13.0,10,4,6,2,3.0,16.0,3.0,17.0,0.7678599449666198,0.12641984056381672,0.0543738225807522,0,1
Chelsea,Birmingham,H,1.2392426850258176,0.6175771971496438,11,0.7600950118764845,1.3425129087779692,4,5,3,0,1.2,6.0,13.0,1,0.6578947368421053,0.2631578947368421,0.07894736842105263,0.21052631578947367,0.2894736842105263,0.5,0.44736842105263164,-0.026315789473684237,-0.42105263157894735,30,16,23,39,1,1,0.47914767314933304,-0.7249357116283255,1,0,0.0,5,4,50,-16.0,2,7,14,-16,2.0,18.0,2.0,19.0,0.7506002243966204,0.1478623560905697,0.06614312210962729,0,1
Man United,Reading,D,1.6179001721170396,0.332541567695962,9,1.0451306413301664,1.4113597246127367,2,12,3,0,1.22,5.5,13.0,0,0.7105263157894737,0.15789473684210525,0.13157894736842105,0.2631578947368421,0.15789473684210525,0.5789473684210527,0.4473684210526316,0.0,-0.44736842105263164,19,22,25,41,0,1,0.5727695307868732,-1.0788181569167747,0,1,3.25,12,6,51,-7.0,9,7,-3,-16,1.0,8.0,1.0,18.0,0.7960423635358902,0.08192314473793737,0.026625465280927223,0,0
Tottenham,Everton,A,1.5834767641996557,1.6152019002375297,8,0.9976247030878861,0.5507745266781411,10,9,4,0,1.8,3.4,4.33,2,0.2894736842105263,0.34210526315789475,0.3684210526315789,0.5,0.21052631578947367,0.2894736842105263,-0.21052631578947367,0.13157894736842107,0.0789473684210526,34,21,17,16,0,1,0.5858520611117696,1.0644273735593885,0,2,-1.25,2,6,-19,-1.0,5,-2,13,1,5.0,6.0,11.0,5.0,0.3424774672600127,0.2500788627302585,0.40046038778596094,1,-1
