HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Aston Villa,Bolton,D,0.7207207207207207,1.0282776349614395,2,1.0282776349614395,1.009009009009009,6,7,8,0,2.3,3.25,3.0,0,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.39473684210526316,0.2894736842105263,0.3157894736842105,-0.13157894736842107,0.02631578947368418,0.10526315789473684,29,20,13,28,0,0,-0.30755691424071885,0.019268625952430618,0,0,0.0,1,1,-14,8.0,-1,-4,9,-15,16.0,8.0,16.0,8.0,0.3393679730494047,0.2783513683543907,0.37942928949816845,0,0
Everton,Man United,A,0.7927927927927928,1.1311053984575836,5,1.7994858611825193,0.9369369369369369,5,8,6,0,5.0,3.4,1.72,0,0.3684210526315789,0.21052631578947367,0.42105263157894735,0.6578947368421053,0.21052631578947367,0.13157894736842105,-0.2894736842105264,0.0,0.2894736842105263,37,35,8,26,1,0,-1.0066930683897266,0.1941684615206467,0,0,-2.0,3,6,-33,9.0,2,0,2,-18,11.0,2.0,11.0,2.0,0.1843336379320326,0.25189460812602765,0.5579057882843425,0,-1
Fulham,Birmingham,D,1.117117117117117,1.0796915167095118,7,0.4627249357326478,1.0810810810810811,4,6,6,0,2.37,3.25,2.87,1,0.3684210526315789,0.15789473684210525,0.47368421052631576,0.21052631578947367,0.2631578947368421,0.5263157894736842,0.15789473684210525,-0.10526315789473684,-0.05263157894736842,19,9,20,30,0,0,0.6543921813844693,-0.0013895643715693407,1,0,0.0,1,1,14,-6.0,0,3,10,-10,12.0,18.0,12.0,18.0,0.5620876042056201,0.2536363603811356,0.1787175323741075,0,0
Man City,West Brom,D,0.9369369369369369,1.0282776349614395,8,0.5141388174807198,1.2252252252252251,3,3,6,0,1.72,3.4,5.0,1,0.34210526315789475,0.10526315789473684,0.5526315789473685,0.18421052631578946,0.23684210526315788,0.5789473684210527,0.15789473684210528,-0.13157894736842105,-0.02631578947368418,21,10,24,34,0,1,0.42279811945621715,-0.1969475902637856,1,0,1.75,10,4,13,-4.0,-3,5,11,-10,15.0,19.0,15.0,19.0,0.5896126496291858,0.2463748754982363,0.15767106481299795,0,0
Middlesbrough,Liverpool,D,1.009009009009009,1.5424164524421595,2,1.2853470437017995,0.6126126126126126,7,5,0,1,2.87,3.2,2.4,0,0.3157894736842105,0.23684210526315788,0.4473684210526316,0.6578947368421053,0.18421052631578946,0.15789473684210525,-0.3421052631578948,0.05263157894736842,0.2894736842105263,32,25,8,17,1,1,-0.2763380346927906,0.929803839829547,0,0,-0.5,6,6,-37,11.0,5,-5,7,-9,14.0,3.0,14.0,3.0,0.202941885907769,0.26315314855060606,0.5294069929987315,0,0
Portsmouth,Tottenham,A,0.6126126126126126,1.2339331619537275,7,1.1311053984575836,0.7927927927927928,6,7,2,1,2.75,3.2,2.5,1,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.47368421052631576,0.2894736842105263,0.23684210526315788,-0.21052631578947367,-0.07894736842105265,0.2894736842105263,31,22,16,22,1,0,-0.518492785844971,0.4411403691609347,1,1,0.5,5,3,-27,12.0,5,1,9,-6,17.0,5.0,17.0,5.0,0.24001735454440903,0.26249115256834216,0.49282592221032157,0,-1
Sunderland,Charlton,A,0.4324324324324324,1.9023136246786634,8,0.9768637532133676,1.2252252252252251,4,5,5,0,2.37,3.2,2.9,1,0.07894736842105263,0.15789473684210525,0.7631578947368421,0.34210526315789475,0.21052631578947367,0.4473684210526316,-0.26315789473684215,-0.05263157894736842,0.31578947368421056,22,19,21,34,2,1,-0.5444313207809353,0.6770883994534382,0,1,0.0,4,6,-32,7.0,0,4,3,-13,20.0,13.0,20.0,13.0,0.27616771830921827,0.28305442747776643,0.4382019555881251,0,-1
West Ham,Blackburn,H,1.0810810810810811,1.2853470437017995,5,1.0282776349614395,0.900900900900901,5,2,6,1,2.5,3.2,2.75,2,0.42105263157894735,0.18421052631578946,0.39473684210526316,0.5,0.15789473684210525,0.34210526315789475,-0.07894736842105265,0.02631578947368421,0.05263157894736842,31,20,17,25,0,0,0.052803446119641606,0.3844461428008985,1,1,0.0,5,7,-8,3.0,-4,0,11,-8,9.0,6.0,9.0,6.0,0.4058116219212348,0.2546015454339389,0.33357205776068916,0,1
Arsenal,Newcastle,H,1.7297297297297296,0.6683804627249358,12,0.9768637532133676,0.9729729729729729,1,8,3,1,1.4,4.2,8.0,1,0.5263157894736842,0.18421052631578946,0.2894736842105263,0.4473684210526316,0.18421052631578946,0.3684210526315789,0.0789473684210526,0.0,-0.0789473684210526,28,19,15,27,1,2,0.752865976516362,-0.30459251024803713,1,0,-0.5,7,7,9,-3.0,5,11,9,-12,4.0,7.0,4.0,7.0,0.6401147528649007,0.2168963478613791,0.13132084561957347,0,1
Wigan,Chelsea,A,0.8648648648648648,1.3367609254498716,5,1.2853470437017995,0.46846846846846846,9,2,6,0,10.0,4.5,1.33,0,0.39473684210526316,0.15789473684210525,0.4473684210526316,0.7631578947368421,0.10526315789473684,0.13157894736842105,-0.368421052631579,0.05263157894736842,0.3157894736842105,47,25,9,13,0,3,-0.42048217883693473,0.8682924569814031,0,0,-0.75,12,10,-40,9.0,-4,-4,22,-4,10.0,1.0,10.0,1.0,0.14613990015497272,0.23762219116972313,0.6086859186394378,0,-1
Birmingham,Man City,A,0.6846846846846847,1.0282776349614395,2,0.8740359897172237,1.009009009009009,6,9,4,0,2.2,3.2,3.25,0,0.21052631578947367,0.2631578947368421,0.5263157894736842,0.34210526315789475,0.10526315789473684,0.5526315789473685,-0.13157894736842107,0.15789473684210525,-0.026315789473684292,26,17,20,28,0,2,-0.18935130503253905,0.019268625952430618,0,1,-2.25,0,9,-9,3.0,5,-4,9,-8,18.0,15.0,18.0,15.0,0.31417151207058264,0.32276839293414294,0.3622433569387575,1,-1
Blackburn,Fulham,H,1.117117117117117,0.8740359897172237,9,0.8740359897172237,1.3333333333333335,4,8,1,1,2.0,3.2,3.75,0,0.5,0.15789473684210525,0.34210526315789475,0.3684210526315789,0.15789473684210525,0.47368421052631576,0.13157894736842107,0.0,-0.13157894736842102,31,17,21,37,1,1,0.2430811273998933,-0.45929734361610974,1,1,0.0,6,7,15,-6.0,7,5,14,-16,6.0,12.0,6.0,12.0,0.5912651803384199,0.21619743113601514,0.1777085672155078,1,1
Charlton,Wigan,H,0.7927927927927928,1.0796915167095118,10,1.0796915167095118,0.9369369369369369,0,4,4,0,1.8,3.4,4.33,0,0.34210526315789475,0.21052631578947367,0.4473684210526316,0.39473684210526316,0.15789473684210525,0.4473684210526316,-0.05263157894736842,0.05263157894736842,0.0,24,21,26,26,0,2,-0.286898723916719,0.14275457977257489,0,0,-2.0,0,6,-4,3.0,0,10,3,0,13.0,10.0,13.0,10.0,0.42859256032910714,0.2639981733438885,0.3029404034278844,1,1
Liverpool,Sunderland,H,1.1531531531531531,0.41131105398457585,6,0.7197943444730077,1.1531531531531531,0,5,5,0,1.28,5.0,10.0,0,0.6578947368421053,0.18421052631578946,0.15789473684210525,0.07894736842105263,0.15789473684210525,0.7631578947368421,0.5789473684210527,0.02631578947368421,-0.605263157894737,12,14,37,32,0,0,0.4333588086801454,-0.7418420991685772,0,0,4.25,12,0,67,-17.0,0,6,-2,5,3.0,20.0,3.0,20.0,0.8086610924064935,0.11965768404360051,0.03182485455252951,1,1
Man United,Aston Villa,H,1.3333333333333335,0.41131105398457585,12,1.1311053984575836,1.2612612612612613,3,11,7,3,1.22,5.5,13.0,0,0.6578947368421053,0.21052631578947367,0.13157894736842105,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.3947368421052632,-0.10526315789473684,-0.2894736842105263,20,22,20,35,0,2,0.20222793487574986,-0.8499502072766854,0,1,1.25,10,7,41,-14.0,4,9,-2,-15,2.0,16.0,2.0,16.0,0.732768883262003,0.1440195345010506,0.07737407922179,1,1
Newcastle,West Ham,D,1.009009009009009,0.7712082262210798,6,1.1311053984575836,1.0810810810810811,1,10,2,0,1.61,3.6,5.5,1,0.4473684210526316,0.18421052631578946,0.3684210526315789,0.42105263157894735,0.18421052631578946,0.39473684210526316,0.026315789473684237,0.0,-0.026315789473684237,30,22,25,30,2,1,-0.1220963894485747,-0.3098728548600014,0,1,-0.75,4,6,3,-2.0,8,5,8,-5,7.0,9.0,7.0,9.0,0.5262242115067028,0.2402828211553897,0.22486231582749577,1,0
Tottenham,Middlesbrough,H,1.117117117117117,0.8226221079691517,8,1.0282776349614395,1.009009009009009,3,5,6,3,1.9,3.3,4.0,0,0.47368421052631576,0.2894736842105263,0.23684210526315788,0.3157894736842105,0.23684210526315788,0.4473684210526316,0.15789473684210525,0.052631578947368446,-0.2105263157894737,28,20,30,28,0,0,0.0888394821556775,-0.18638690103985722,1,2,1.75,10,2,20,-9.0,-1,5,8,2,5.0,14.0,5.0,14.0,0.6247364716171113,0.2065764776257791,0.15171496665980608,1,1
West Brom,Portsmouth,H,0.7567567567567568,1.2339331619537275,2,1.0282776349614395,1.3693693693693694,2,3,3,1,2.2,3.2,3.25,1,0.18421052631578946,0.23684210526315788,0.5789473684210527,0.2631578947368421,0.21052631578947367,0.5263157894736842,-0.07894736842105263,0.02631578947368421,0.052631578947368474,17,20,24,38,0,1,-0.27152087820468274,-0.13543620741564188,0,2,0.5,4,4,-8,2.0,0,0,-3,-14,19.0,17.0,19.0,17.0,0.4249265911028564,0.28374690728671265,0.28882847046237975,1,1
