HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Arsenal,Aston Villa,D,1.5579710144927534,0.8443271767810026,11,1.2137203166226913,0.9782608695652173,3,18,1,0,1.28,4.5,13.0,0,0.5,0.2894736842105263,0.21052631578947367,0.2894736842105263,0.4473684210526316,0.2631578947368421,0.21052631578947367,-0.15789473684210525,-0.05263157894736842,20,23,14,27,0,0,0.34425069787006213,-0.13393369278421474,0,0,0.0,1,1,18,-12.0,17,8,-3,-13,4.0,16.0,3.0,11.0,0.6072829765159403,0.2344992347726387,0.14996312812987744,0,0
Bolton,Tottenham,H,0.9420289855072463,1.0554089709762533,6,1.2137203166226913,1.1594202898550723,6,6,3,1,2.62,3.2,2.6,0,0.42105263157894735,0.21052631578947367,0.3684210526315789,0.4473684210526316,0.23684210526315788,0.3157894736842105,-0.026315789473684237,-0.02631578947368421,0.05263157894736842,34,23,22,32,0,0,-0.27169133111544497,-0.10401131887881898,0,1,1.0,4,3,-4,3.0,3,0,11,-10,8.0,5.0,7.0,5.0,0.4509678777891429,0.23368907394416621,0.3035079394783806,0,1
Everton,Watford,H,1.1956521739130435,0.8970976253298153,2,0.5277044854881267,1.2318840579710144,8,0,6,1,1.66,3.4,5.5,1,0.39473684210526316,0.34210526315789475,0.2631578947368421,0.13157894736842105,0.34210526315789475,0.5263157894736842,0.26315789473684215,0.0,-0.2631578947368421,19,10,25,34,0,0,0.6679476884249168,-0.3347864326411991,1,1,1.6666666666666667,7,1,30,-7.0,-6,-6,9,-9,11.0,18.0,6.0,20.0,0.71673627478042,0.18651391665510123,0.08019799673466378,0,1
Newcastle,Wigan,H,0.8333333333333333,1.0554089709762533,8,1.0026385224274406,1.0507246376811594,9,4,11,1,1.72,3.5,4.75,0,0.2894736842105263,0.2631578947368421,0.4473684210526316,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.026315789473684237,0.05263157894736842,-0.0789473684210526,18,19,30,29,2,1,-0.1693051890941073,0.004684333295093879,0,1,0.25,6,4,5,-3.0,-7,-1,-1,1,7.0,10.0,13.0,18.0,0.5301669040338519,0.2628636134952075,0.20243944729660074,0,1
Portsmouth,Blackburn,H,1.0144927536231882,0.79155672823219,16,1.108179419525066,1.0507246376811594,7,6,2,0,2.3,3.1,3.1,1,0.3684210526315789,0.3157894736842105,0.3157894736842105,0.39473684210526316,0.18421052631578946,0.42105263157894735,-0.026315789473684237,0.13157894736842105,-0.10526315789473684,31,21,25,29,0,0,-0.0936866659018778,-0.2591679094489694,1,1,1.5,10,5,2,11.0,4,9,10,-4,17.0,6.0,9.0,10.0,0.5120192111058172,0.24643110053841952,0.23421731434171916,0,1
Reading,Middlesbrough,H,1.0507246376811594,1.0554089709762533,9,0.6860158311345647,0.9057971014492754,5,8,2,2,2.5,3.1,2.8,0,0.42105263157894735,0.18421052631578946,0.39473684210526316,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.10526315789473684,-0.07894736842105263,-0.02631578947368418,31,13,24,25,1,0,0.36470880654659477,0.14961186952697791,2,1,1.5,7,2,9,4.0,6,4,18,-1,18.0,14.0,8.0,12.0,0.5410712277737793,0.23911627095436053,0.21112400459342298,0,1
Sheffield United,Liverpool,D,0.8695652173913042,1.108179419525066,3,0.9498680738786279,0.7246376811594202,7,0,12,0,6.0,3.8,1.53,1,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.5263157894736842,0.21052631578947367,0.2631578947368421,-0.2631578947368421,0.0,0.2631578947368421,39,18,7,20,2,2,-0.08030285648732371,0.38354173836564587,0,1,-1.25,4,6,-30,15.0,-12,-4,21,-13,18.0,3.0,17.0,4.0,0.1578774748536815,0.2762320162642095,0.5627265291871413,0,0
West Ham,Charlton,H,0.8695652173913042,1.3720316622691293,5,0.79155672823219,1.4492753623188404,2,6,0,0,2.0,3.2,3.75,0,0.3157894736842105,0.13157894736842105,0.5526315789473685,0.21052631578947367,0.2631578947368421,0.5263157894736842,0.10526315789473684,-0.13157894736842105,0.026315789473684292,19,15,20,40,0,0,0.07800848915911418,-0.07724370004971104,0,0,-0.5,0,0,7,-4.0,6,3,4,-20,9.0,13.0,15.0,19.0,0.4787822956811905,0.2705288442982126,0.24696081962456926,0,1
Chelsea,Man City,H,1.3405797101449275,0.5804749340369394,4,1.0026385224274406,1.0144927536231882,2,5,2,1,1.22,5.5,13.0,1,0.631578947368421,0.2894736842105263,0.07894736842105263,0.2894736842105263,0.23684210526315788,0.47368421052631576,0.3421052631578947,0.052631578947368446,-0.39473684210526316,10,19,16,28,0,1,0.33794118771748693,-0.43401781958624885,2,0,1.5,10,5,41,-14.0,3,2,-9,-12,1.0,15.0,2.0,14.0,0.7311352314842877,0.1987576235484141,0.05945848827213609,0,1
Man United,Fulham,H,1.6666666666666665,0.6332453825857519,7,1.0554089709762533,1.5217391304347827,8,5,2,0,1.22,5.5,13.0,0,0.7368421052631579,0.13157894736842105,0.13157894736842105,0.21052631578947367,0.39473684210526316,0.39473684210526316,0.5263157894736842,-0.26315789473684215,-0.26315789473684215,18,20,18,42,0,1,0.6112576956904132,-0.8884937478490308,1,0,2.5,12,5,50,-10.0,3,-1,-2,-24,2.0,12.0,1.0,16.0,0.7784426833728961,0.08042026827747395,0.03001311525626774,0,1
