HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Arsenal,Sunderland,D,1.587837837837838,0.9766454352441614,4,0.8917197452229301,1.1824324324324325,2,7,0,0,1.4,4.5,8.5,0,0.5526315789473685,0.2631578947368421,0.18421052631578946,0.23684210526315788,0.3157894736842105,0.4473684210526316,0.3157894736842106,-0.05263157894736842,-0.26315789473684215,20,21,19,35,0,0,0.6961180926149079,-0.2057869971882711,0,0,0.0,1,1,34,-11.0,7,2,-1,-16,3.0,14.0,4.0,17.0,0.6823344910174334,0.18870660875554143,0.10882803205698163,0,0
Fulham,Norwich,H,0.9459459459459459,1.2738853503184715,9,0.6794055201698513,1.2837837837837838,2,6,3,1,1.8,3.6,4.5,0,0.2894736842105263,0.2631578947368421,0.4473684210526316,0.2631578947368421,0.3684210526315789,0.3684210526315789,0.026315789473684237,-0.10526315789473684,0.07894736842105265,25,16,20,38,0,0,0.2665404257760946,-0.009898433465312273,0,1,4.5,3,1,-1,-2.0,3,7,9,-18,8.0,10.0,12.0,11.0,0.4861898660792868,0.24967861112979148,0.2573071909718839,0,1
Newcastle,Tottenham,H,0.8108108108108107,1.316348195329087,4,1.5711252653927814,0.9459459459459459,6,3,5,1,2.5,3.4,2.75,0,0.2894736842105263,0.21052631578947367,0.5,0.5526315789473685,0.23684210526315788,0.21052631578947367,-0.26315789473684215,-0.02631578947368421,0.2894736842105263,29,37,18,28,1,0,-0.7603144545819707,0.37040224938314104,0,1,0.0,4,2,-31,1.0,-2,-2,-8,-10,5.0,4.0,15.0,5.0,0.22600126417895605,0.21960150014864083,0.538388740692386,0,1
QPR,Swansea,A,0.4391891891891892,1.1889596602972399,11,0.8067940552016986,0.8445945945945946,8,5,3,0,2.0,3.4,3.8,1,0.10526315789473684,0.34210526315789475,0.5526315789473685,0.2894736842105263,0.34210526315789475,0.3684210526315789,-0.1842105263157895,0.0,0.18421052631578955,28,19,26,25,1,2,-0.36760486601250936,0.34436506570264525,1,0,-3.25,2,7,-21,6.0,2,3,9,1,17.0,11.0,20.0,9.0,0.25763115318032237,0.29672360485022026,0.44384201300489123,0,-1
Reading,Stoke,D,0.7770270270270271,1.4012738853503186,3,0.5520169851380042,0.7770270270270271,3,4,3,0,2.38,3.25,3.1,0,0.15789473684210525,0.2631578947368421,0.5789473684210527,0.23684210526315788,0.39473684210526316,0.3684210526315789,-0.07894736842105263,-0.13157894736842107,0.21052631578947373,21,13,22,23,3,0,0.22501004188902285,0.6242468583232915,3,0,-1.0,1,3,-14,5.0,1,0,8,-1,18.0,13.0,19.0,13.0,0.3505235068232549,0.2961239667996549,0.35166869476693724,0,0
West Brom,Liverpool,H,1.0810810810810811,1.061571125265393,10,1.6135881104033971,0.9121621621621622,7,7,3,1,4.2,3.5,1.91,0,0.3684210526315789,0.18421052631578946,0.4473684210526316,0.42105263157894735,0.34210526315789475,0.23684210526315788,-0.05263157894736842,-0.15789473684210528,0.2105263157894737,33,38,16,27,1,0,-0.532507029322316,0.14940896310323082,1,1,0.0,7,4,-12,3.0,4,3,-5,-11,12.0,9.0,8.0,7.0,0.27794662501946227,0.23355009194744702,0.476970513207972,0,1
West Ham,Aston Villa,H,1.1486486486486487,0.9341825902335457,4,1.019108280254777,1.3851351351351353,6,6,4,1,2.2,3.3,3.4,2,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.2631578947368421,0.2894736842105263,0.4473684210526316,0.05263157894736842,-0.026315789473684237,-0.026315789473684237,23,24,28,41,0,1,0.12954036839387162,-0.45095254490158965,1,1,0.5,5,4,5,2.0,2,-2,-1,-13,18.0,16.0,10.0,14.0,0.5064755992112979,0.23962902942078468,0.24480396745731672,0,1
Man City,Southampton,H,1.3851351351351353,0.6369426751592357,15,0.9766454352441614,1.2162162162162162,6,7,3,0,1.17,7.0,17.0,1,0.6052631578947368,0.23684210526315788,0.15789473684210525,0.23684210526315788,0.3684210526315789,0.39473684210526316,0.368421052631579,-0.13157894736842105,-0.2368421052631579,26,23,24,36,0,1,0.40848969989097395,-0.5792735410569805,1,1,1.75,10,4,37,-17.0,4,9,3,-12,1.0,18.0,2.0,16.0,0.673053864296315,0.18740774335392824,0.11725671521388122,0,1
Wigan,Chelsea,A,0.8783783783783784,1.6560509554140128,4,1.4437367303609343,0.7770270270270271,3,7,1,0,6.0,3.75,1.62,1,0.23684210526315788,0.23684210526315788,0.5263157894736842,0.5789473684210527,0.23684210526315788,0.18421052631578946,-0.3421052631578948,0.0,0.3421052631578947,41,34,16,23,1,3,-0.5653583519825559,0.8790239283869857,0,0,-1.5,4,9,-39,9.0,6,1,7,-7,15.0,6.0,18.0,3.0,0.15290042421339095,0.1819171256752427,0.6309324775890424,0,-1
Everton,Man United,H,1.114864864864865,0.7218683651804672,7,1.7409766454352442,0.8108108108108107,7,6,8,0,4.33,3.6,1.83,0,0.42105263157894735,0.39473684210526316,0.18421052631578946,0.7368421052631579,0.13157894736842105,0.13157894736842105,-0.3157894736842105,0.26315789473684215,0.05263157894736842,45,41,19,24,0,0,-0.6261117805703793,-0.08894244563034359,0,0,-1.75,4,12,-26,5.0,-2,0,4,-5,7.0,2.0,6.0,1.0,0.334477689337905,0.25008148662881696,0.4084668797636401,0,1
