HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Bournemouth,Aston Villa,A,0.8112874779541446,1.4814814814814814,2,0.5664488017429193,1.4462081128747795,3,6,3,0,2.0,3.6,4.0,0,0.2894736842105263,0.23684210526315788,0.47368421052631576,0.07894736842105263,0.21052631578947367,0.7105263157894737,0.2105263157894737,0.02631578947368421,-0.2368421052631579,14,13,35,41,0,0,0.24483867621122524,0.03527336860670194,0,0,-2.0,0,3,25,2.0,3,-1,1,-6,18.0,16.0,15.0,20.0,0.6133466493397431,0.21421072084758527,0.1581278949784426,0,-1
Chelsea,Swansea,D,1.128747795414462,1.3071895424836601,3,0.9586056644880174,1.128747795414462,10,4,8,0,1.36,5.0,11.0,1,0.3157894736842105,0.3684210526315789,0.3157894736842105,0.3157894736842105,0.2894736842105263,0.39473684210526316,0.0,0.0789473684210526,-0.07894736842105265,20,22,20,32,0,0,0.1701421309264446,0.17844174706919813,1,0,-2.5,1,4,3,-7.0,-4,-7,-2,-12,1.0,8.0,10.0,12.0,0.5286897092550082,0.2374482673660779,0.22450088715689578,0,0
Everton,Watford,D,1.2345679012345678,1.3071895424836601,5,0.8714596949891067,1.09347442680776,5,8,2,1,1.7,3.9,5.5,1,0.2894736842105263,0.3684210526315789,0.34210526315789475,0.3157894736842105,0.23684210526315788,0.4473684210526316,-0.02631578947368418,0.13157894736842105,-0.10526315789473684,20,20,19,31,0,0,0.36310820624546114,0.21371511567590007,0,0,0.3333333333333335,4,3,2,-7.0,6,0,0,-12,11.0,18.0,11.0,13.0,0.5174990037937792,0.2437600287727825,0.23085724874451818,0,0
Leicester,Sunderland,H,1.2345679012345678,0.784313725490196,8,1.0893246187363834,1.4814814814814816,5,6,3,2,1.95,3.5,4.33,0,0.6052631578947368,0.3157894736842105,0.07894736842105263,0.23684210526315788,0.3157894736842105,0.4473684210526316,0.368421052631579,0.0,-0.368421052631579,23,25,20,42,0,0,0.1452432824981844,-0.6971677559912857,0,2,1.75,8,2,42,-3.0,3,3,-2,-22,14.0,17.0,1.0,17.0,0.6836531709134862,0.17093718970517696,0.11232628238751723,0,1
Man United,Tottenham,H,0.9523809523809523,0.392156862745098,1,1.4814814814814814,0.7054673721340388,4,1,2,1,1.65,4.0,6.0,1,0.5,0.23684210526315788,0.2631578947368421,0.5,0.34210526315789475,0.15789473684210525,0.0,-0.10526315789473686,0.10526315789473684,35,34,15,20,1,0,-0.5291005291005291,-0.3133105093889408,3,0,0.25,7,6,-4,-1.0,-1,-3,1,-5,4.0,5.0,5.0,3.0,0.31883302491746207,0.30200950399163434,0.37771620854317944,0,1
Norwich,Crystal Palace,A,0.9171075837742504,1.3071895424836601,6,0.8714596949891067,0.9876543209876542,7,1,4,1,2.55,3.3,3.0,1,0.23684210526315788,0.18421052631578946,0.5789473684210527,0.2894736842105263,0.23684210526315788,0.47368421052631576,-0.052631578947368446,-0.05263157894736842,0.10526315789473689,19,20,23,28,1,2,0.0456478887851437,0.319535221496006,0,0,-0.25,5,6,-8,8.0,-3,-1,-1,-5,18.0,10.0,19.0,16.0,0.3447224237993058,0.2821664827505308,0.37057275953376034,0,-1
Arsenal,West Ham,A,1.09347442680776,0.4793028322440087,6,1.3507625272331154,0.8818342151675486,4,5,4,2,1.29,6.0,12.0,0,0.5263157894736842,0.2894736842105263,0.18421052631578946,0.42105263157894735,0.3684210526315789,0.21052631578947367,0.10526315789473684,-0.0789473684210526,-0.02631578947368421,34,31,26,25,1,3,-0.2572881004253553,-0.40253138292353985,0,0,-0.5,9,10,9,-9.0,1,2,3,1,3.0,12.0,2.0,7.0,0.5456543131149646,0.22414611128299755,0.21663210101310074,0,-1
Newcastle,Southampton,D,1.128747795414462,1.045751633986928,4,0.8714596949891067,0.6701940035273368,5,6,6,0,2.88,3.3,2.7,1,0.23684210526315788,0.2631578947368421,0.5,0.47368421052631576,0.23684210526315788,0.2894736842105263,-0.23684210526315788,0.02631578947368421,0.21052631578947367,39,20,22,19,2,0,0.2572881004253553,0.3755576304595911,1,1,-2.75,1,7,-26,8.0,0,-1,19,3,15.0,7.0,18.0,6.0,0.22735218670738022,0.23715312771439562,0.5260003176346382,0,0
Stoke,Liverpool,A,0.7760141093474426,1.045751633986928,1,1.3071895424836601,0.9876543209876542,3,3,5,0,3.4,3.4,2.3,1,0.3684210526315789,0.23684210526315788,0.39473684210526316,0.42105263157894735,0.3157894736842105,0.2631578947368421,-0.05263157894736842,-0.07894736842105263,0.13157894736842107,33,30,22,28,0,1,-0.5311754331362175,0.05809731299927379,1,0,0.5,10,6,-9,3.0,-2,-2,3,-6,9.0,6.0,9.0,8.0,0.28468622870904364,0.2493976236977605,0.4589073266676717,0,-1
West Brom,Man City,A,0.7054673721340388,1.1328976034858387,2,1.045751633986928,0.7054673721340388,7,6,6,0,5.75,4.0,1.67,0,0.2631578947368421,0.34210526315789475,0.39473684210526316,0.5,0.23684210526315788,0.2631578947368421,-0.2368421052631579,0.10526315789473686,0.13157894736842107,47,24,21,20,2,2,-0.3402842618528892,0.4274302313517999,0,1,-1.75,6,7,-23,11.0,0,-5,23,1,13.0,2.0,14.0,4.0,0.19747892854259333,0.2588377012521954,0.5386802403377442,0,-1
